Order,Name,Semi-major axis,Orbital period
1,Cordelia,49770,0.335034
2,Ophelia,53790,0.3764
3,Bianca,59170,0.434579
4,Cressida,61780,0.46357
5,Desdemona,62680,0.47365
6,Juliet,64350,0.493065
7,Portia,66090,0.513196
8,Rosalind,69940,0.55846
9,Cupid,74800,0.618
10,Belinda,75260,0.623527
11,Perdita,76400,0.638
12,Puck,86010,0.761833
13,Mab,97700,0.923
14,Miranda,129390,1.413479
15,Ariel,191020,2.520379
16,Umbriel,266300,4.144177
17,Titania,435910,8.705872
18,Oberon,583520,13.463239
19,Francisco,4276000,-266.56
20,Caliban,7230000,-579.5
21,Stephano,8002000,-676.5
22,Trinculo,8571000,-758.1
23,Sycorax,12179000,-1283.4
24,Margaret,14345000,1694.8
25,Prospero,16418000,-1992.8
26,Setebos,17459000,-2202.3
27,Ferdinand,20900000,-2823.4
